Provider Code,Provider Name,Provider Type
7725,Aboriginal Centre for the Performing Arts Pty Ltd,VET
2141,Aboriginal Islanders Development Scheme,HEP (Retired)
4396,Academy of Design Australia,Private HEP
7312,Academy of Hypnotic Science Pty Ltd,VET
7124,Academy of Information Technology Pty Ltd,Private HEP & VET
7028,Academy of Interactive Entertainment Ltd,VET
7403,Access Group Training Pty Limited (t/a Access Group Training),VET
7274,Access Training Institute Pty Ltd,VET
4411,Acknowledge Education Pty Ltd (t/a Stott's Colleges),Private HEP & VET
7398,ACT Education Group Pty Ltd (t/a Adelaide College of Technology),VET
7039,ACTE Pty Ltd (t/a Australian College of Training and Employment),VET
7340,Actors College of Theatre and Television,VET
2281,Acupuncture Colleges (Aust) Pty Ltd,HEP (Retired)
7425,"Adamattrin Pty Ltd as Trustee for Mesaric Family Trust (t/a Tri Training - Productivity, Performance, Skills)",VET
4395,Adelaide Central School of Art,Private HEP
4216,Adelaide College of Advanced Education,HEP (Retired)
4217,Adelaide College of Arts and Education,HEP (Retired)
4355,Adelaide College of Divinity ,Private HEP
7405,Advanced Education Australia Pty Ltd,VET
7407,Air Gold Coast Pty Ltd,VET
7417,Airline Academy of Australia Pty Ltd,VET
7048,Albury Wodonga Community College Ltd (t/a Australian College of Higher Education),VET (Retired)
7517,Alderdice & Associates,VET
7628,AlertForce,VET
4101,Alexander Mackie College of Advanced Education,HEP (Retired)
7069,Allied Educational Services Pty Ltd (t/a Pivot Point International Academy Melbourne),VET (Retired)
4407,Alphacrucis College,Private HEP & VET
7449,Anglican Church Property Trust Diocese of Canberra and Goulburn (t/a St Marks National Theological Centre),VET
7624,Apprentices-Trainees-Employment Limited,VET (Retired)
2272,Argyle College of TAFE (Goulburn),HEP (Retired)
2102,Armidale College of Advanced Education,HEP (Retired)
4301,Armidale Teachers College,HEP (Retired)
7206,Arrow Training Services,VET
7348,ASCET Institute of Technology Pty Ltd (t/a ASCET Tech),VET
7565,Ashley Institute of Training,VET
7141,Asia Pacific Training Institute Pty. Ltd.,VET
7819,Atkinson Training and Development Pty Limited,VET
7701,Aurora Training Institute,VET
