E306	HE_Provider_name	HE_Provider_type	TableA
1004	The University of Adelaide	HEP (Retired)	1
1007	The Australian National University	HEP (Retired)	1
1010	Deakin University	HEP (Retired)	1
1013	The Flinders University of South Australia	HEP (Retired)	0
1016	Griffith University	HEP (Retired)	1
1019	James Cook University	Table A HEP	1
1022	La Trobe University	HEP (Retired)	1
1025	The Macquarie University	HEP (Retired)	0
1028	The University of Melbourne	HEP (Retired)	1
1031	Monash University	HEP (Retired)	1
1034	Murdoch University	Table A HEP	1
1037	The University of Newcastle	HEP (Retired)	0
1040	The University of New England	HEP (Retired)	0
1043	The University of New South Wales	HEP (Retired)	0
1046	The University of Queensland	HEP (Retired)	1
1049	The University of Sydney	HEP (Retired)	1
1052	University of Tasmania	HEP (Retired)	1
1055	The University of Western Australia	Table A HEP	1
1058	University of Wollongong	Table A HEP	1
1064	Australian Defence Force Academy	HEP (Retired)	0
2102	Armidale College of Advanced Education	HEP (Retired)	0
2105	Catholic College of Education Sydney Ltd	HEP (Retired)	0
2109	Cumberland College of Health Sciences	HEP (Retired)	0
2114	Hawkesbury Agricultural College	HEP (Retired)	0
2115	Kuring-gai College of Advanced Education	HEP (Retired)	0
2116	Macarthur Institute of Higher Education	HEP (Retired)	0
2118	Mitchell College of Advanced Education	HEP (Retired)	0
2119	Nepean College of Advanced Education	HEP (Retired)	0
2121	New South Wales State Conservatorium of Music	HEP (Retired)	0
2123	University of Technology, Sydney	HEP (Retired)	0
2124	Hunter Institute of Higher Education	HEP (Retired)	0
2126	Northern Rivers College of Advanced Education	HEP (Retired)	0
2128	Orange Agricultural College	HEP (Retired)	0
2132	Sydney College of Advanced Education	HEP (Retired)	0
2133	Sydney College of the Arts	HEP (Retired)	0
2141	Aboriginal Islanders Development Scheme	HEP (Retired)	0
2142	Australian College of Physical Education	HEP (Retired)	0
2148	National Institute of Dramatic Art (NIDA)	Private HEP & VET	0
2151	Sydney College of Chiropractic	HEP (Retired)	0
2154	Federation University Australia	Table A HEP & VET	1
2156	Bendigo College of Advanced Education	HEP (Retired)	0
2160	Chisholm Institute of Technology	HEP (Retired)	0
2164	Footscray Institute of Technology	HEP (Retired)	0
2165	Gippsland Institute of Advanced Education	HEP (Retired)	0
2168	Lincoln Institute of Health Sciences	HEP (Retired)	0
2170	Marcus Oldham College	Private HEP	0
2171	Melbourne College of Advanced Education	HEP (Retired)	0
2172	Phillip Institute of Technology	HEP (Retired)	0
2175	Royal Melbourne Institute of Technology Ltd	HEP (Retired)	0
2177	Swinburne University of Technology	Table A HEP & VET	1
2178	Victoria College	HEP (Retired)	0
2179	Victorian College of Agriculture and Horticulture	HEP (Retired)	0
2180	The Victorian College of the Arts	HEP (Retired)	0
2181	Victorian College of Pharmacy Ltd	HEP (Retired)	0
2182	Warrnambool Institute of Advanced Education	HEP (Retired)	0
2189	Institute of Catholic Education	HEP (Retired)	0
2193	Hawthorn Institute of Education	HEP (Retired)	0
2198	Brisbane College of Advanced Education	HEP (Retired)	0
2200	Central Queensland University	Table A HEP & VET	1
2201	University of Southern Queensland	Table A HEP	1
2203	Kangaroo Point College of TAFE	HEP (Retired)	0
2205	Mackay College of TAFE	HEP (Retired)	0
2206	McAuley College	HEP (Retired)	0
2209	Queensland Agricultural College	HEP (Retired)	0
2210	Queensland College of Art	HEP (Retired)	0
2211	Queensland Conservatorium of Music	HEP (Retired)	0
2212	Queensland University of Technology	HEP (Retired)	1
2214	Townsville College of TAFE	HEP (Retired)	0
2221	Roseworthy Agricultural College	HEP (Retired)	0
2223	South Australian College of Advanced Education	HEP (Retired)	0
2224	South Australian Institute of Technology	HEP (Retired)	0
2235	Edith Cowan University	Table A HEP & VET	1
2236	Curtin University of Technology	Table A HEP	1
2239	Australian Maritime College	HEP (Retired)	0
2241	University of Canberra	Table A HEP	1
2242	Signadou College of Education	HEP (Retired)	0
2243	Canberra College of TAFE	HEP (Retired)	0
2244	Canberra School of Art	HEP (Retired)	0
2245	Canberra School of Music	HEP (Retired)	0
2246	Batchelor Institute of Indigenous Tertiary Education	Table A HEP & VET	1
2249	Queensland Distance Education College	HEP (Retired)	0
2251	New South Wales Theological Colleges	HEP (Retired)	0
2252	Avondale College of Higher Education	Private HEP & VET	0
2253	Riverina-Murray Institute of Higher Education	HEP (Retired)	0
2254	Tasmanian State Institute of Technology	HEP (Retired)	0
2255	Darwin Institute of Technology	HEP (Retired)	0
2270	Gold Coast College of Advanced Education	HEP (Retired)	0
2271	Australian Film Television and Radio School (AFTRS)	Private HEP	0
2272	Argyle College of TAFE (Goulburn)	HEP (Retired)	0
2273	Bathurst College of TAFE	HEP (Retired)	0
2274	Ryde College of TAFE	HEP (Retired)	0
2275	Sydney Technical College	HEP (Retired)	0
2276	Wollongong College of TAFE	HEP (Retired)	0
2277	Blacktown College of TAFE	HEP (Retired)	0
2278	External Studies Centre	HEP (Retired)	0
2279	Kurri Kurri College of TAFE	HEP (Retired)	0
2280	The Western Institute	HEP (Retired)	0
2281	Acupuncture Colleges (Aust) Pty Ltd	HEP (Retired)	0
2282	International Colleges of Osteopathy	HEP (Retired)	0
