E386	any_disability	hearing_disability	learning_disability	medical_disability	mobility_disability	other_disability	visual_disability	wants_services_disability
0								
10000000	1							
10000001	1							1
10000002	1							0
10000010	1					1		
10000011	1					1		1
10000012	1					1		0
10000100	1			1				
10000101	1			1				1
10000102	1			1				0
10000110	1			1		1		
10000111	1			1		1		1
10000112	1			1		1		0
10001000	1						1	
10001001	1						1	1
10001002	1						1	0
10001011	1					1	1	1
10001012	1					1	1	0
10001101	1			1			1	1
10001102	1			1			1	0
10001111	1			1		1	1	1
10001112	1			1		1	1	0
10010000	1				1			
10010001	1				1			1
10010002	1				1			0
10010011	1				1	1		1
10010012	1				1	1		0
10010101	1			1	1			1
10010102	1			1	1			0
10010111	1			1	1	1		1
10010112	1			1	1	1		0
10011001	1				1		1	1
10011002	1				1		1	0
10011011	1				1	1	1	1
10011012	1				1	1	1	0
10011101	1			1	1		1	1
10011102	1			1	1		1	0
10011111	1			1	1	1	1	1
10011112	1			1	1	1	1	0
10100000	1		1					
10100001	1		1					1
10100002	1		1					0
10100010	1		1			1		
10100011	1		1			1		1
10100012	1		1			1		0
10100101	1		1	1				1
10100102	1		1	1				0
10100111	1		1	1		1		1
10100112	1		1	1		1		0
10101001	1		1				1	1
10101002	1		1				1	0
10101011	1		1			1	1	1
10101012	1		1			1	1	0
10101101	1		1	1			1	1
10101102	1		1	1			1	0
10101111	1		1	1		1	1	1
10101112	1		1	1		1	1	0
10110001	1		1		1			1
10110002	1		1		1			0
10110011	1		1		1	1		1
10110012	1		1		1	1		0
10110101	1		1	1	1			1
10110102	1		1	1	1			0
10110111	1		1	1	1	1		1
10110112	1		1	1	1	1		0
10111001	1		1		1		1	1
10111002	1		1		1		1	0
10111011	1		1		1	1	1	1
10111012	1		1		1	1	1	0
10111101	1		1	1	1		1	1
10111102	1		1	1	1		1	0
10111111	1		1	1	1	1	1	1
10111112	1		1	1	1	1	1	0
11000000	1	1						
11000001	1	1						1
11000002	1	1						0
11000011	1	1				1		1
11000012	1	1				1		0
11000101	1	1		1				1
11000102	1	1		1				0
11000111	1	1		1		1		1
11000112	1	1		1		1		0
11001001	1	1					1	1
11001002	1	1					1	0
11001011	1	1				1	1	1
11001012	1	1				1	1	0
11001101	1	1		1			1	1
11001102	1	1		1			1	0
11001111	1	1		1		1	1	1
11001112	1	1		1		1	1	0
11010001	1	1			1			1
11010002	1	1			1			0
11010011	1	1			1	1		1
11010012	1	1			1	1		0
11010101	1	1		1	1			1
11010102	1	1		1	1			0
11010111	1	1		1	1	1		1
11010112	1	1		1	1	1		0
11011001	1	1			1		1	1
11011002	1	1			1		1	0
11011011	1	1			1	1	1	1
11011012	1	1			1	1	1	0
11011101	1	1		1	1		1	1
11011102	1	1		1	1		1	0
11011111	1	1		1	1	1	1	1
11011112	1	1		1	1	1	1	0
11100001	1	1	1					1
11100002	1	1	1					0
11100011	1	1	1			1		1
11100012	1	1	1			1		0
11100101	1	1	1	1				1
11100102	1	1	1	1				0
11100111	1	1	1	1		1		1
11100112	1	1	1	1		1		0
11101001	1	1	1				1	1
11101002	1	1	1				1	0
11101011	1	1	1			1	1	1
11101101	1	1	1	1			1	1
11101102	1	1	1	1			1	0
11101111	1	1	1	1		1	1	1
11110001	1	1	1		1			1
11110002	1	1	1		1			0
11110011	1	1	1		1	1		1
11110012	1	1	1		1	1		0
11110101	1	1	1	1	1			1
11110102	1	1	1	1	1			0
11110111	1	1	1	1	1	1		1
11110112	1	1	1	1	1	1		0
11111001	1	1	1		1		1	1
11111002	1	1	1		1		1	0
11111011	1	1	1		1	1	1	1
11111012	1	1	1		1	1	1	0
11111101	1	1	1	1	1		1	1
11111102	1	1	1	1	1		1	0
11111111	1	1	1	1	1	1	1	1
11111112	1	1	1	1	1	1	1	0
20000000	0							
20000001	0							1
20000002	0							0
